"Midascontactid","Createdat","Emailpermissionstatus","Cont.Acq.Src","Email.Src.First","Segment","Segmentsecondary","Email.Acq.Dt","Email.Pref.Ch.Dt","Entry.Point.List","Cont.Acq.Src2","Cont.Acq.Dte","Prod.Buy.Last","Prod.Buy.First","Prod.Buy.Accessories","Prod.Buy.All.In.One.Desktop","Prod.Buy.Desktop","Prod.Buy.Idc","Prod.Buy.Idpd","Prod.Buy.Laptop","Prod.Buy.Servers","Prod.Buy.Software","Prod.Buy.Thnkc","Prod.Buy.Thnkp","Prod.Buy.Warranties","Prod.Buy.Workstation","Prod.Buy.Android.Tablet","Prod.Buy.Windows.Tablet","Prod.Buy.Convertible","Prod.Buy.Android.Os","Prod.Buy.Gaming","Prod.Buy.Windows.Os","Prod.Buy.Gaming.Related","Country","Eml.Sent.Num","Eml.Sent.First.Ts","Eml.Sent.Last.Ts","Eml.Open.Num","Eml.Open.First.Ts","Eml.Open.Last.Ts","Eml.Click.Num","Eml.Click.First.Ts","Eml.Click.Last.Ts","Eml.Bounce.Last.Ts","Eml.Unsub.Last.Ts","Eml.Spam.Last.Ts","Email.Domain","Em.Pref.Status","Em.Pref.Dte","Invalid.Email.Dte","Em.Spamclplt.Dte"
"1039831597","8/13/2019","I","OOBWIN15","OOBWIN15","CON","","8/12/2019","8/12/2019","|OOBWIN1506|","OOBWIN15","8/12/2019","8/12/2019","8/12/2019","NA","NA","NA","NA","8/12/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","4","8/13/2019","12/24/2019","0","NA","NA","0","NA","NA","NA","NA","NA","outlook.com","I","8/12/2019","NA","NA"
"1039044774","7/1/2019","U","OOBWIN15","","CON","","NA","6/30/2019","|OOBWIN1506|","OOBWIN15","6/30/2019","6/30/2019","6/30/2019","NA","NA","NA","NA","6/30/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CA","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","eastersealsbcy.ca","U","6/30/2019","NA","NA"
"1040199301","8/26/2019","I","NETMINNG","NETMINNG","CON","","8/26/2019","9/4/2019","|HYBRIS1506|IGNONE20121024|","NETMINNG","8/26/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CA","97","8/26/2019","2/20/2020","9","8/27/2019","1/6/2020","2","8/27/2019","11/29/2019","NA","NA","NA","mail.utoronto.ca","I","8/26/2019","NA","NA"
"1046158560","1/30/2020","U","OOBWIN15","","CON","","NA","1/29/2020","|OOBWIN1506|","OOBWIN15","1/29/2020","1/29/2020","1/29/2020","NA","NA","NA","NA","1/29/2020","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","hotmail.com","U","1/29/2020","NA","NA"
"1044581458","12/14/2019","I","OOBWIN15","OOBWIN15","CON","","12/14/2019","12/14/2019","|OOBWIN1506|","OOBWIN15","12/14/2019","12/14/2019","12/14/2019","NA","NA","NA","NA","12/14/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","4","12/14/2019","1/13/2020","2","12/17/2019","12/24/2019","0","NA","NA","NA","NA","NA","hotmail.com","I","12/14/2019","NA","NA"
"1041171423","8/29/2019","I","OOBWIN15","OOBWIN15","CON","","8/28/2019","8/28/2019","|OOBWIN1506|","OOBWIN15","8/28/2019","8/28/2019","8/28/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","5","8/29/2019","12/24/2019","1","8/30/2019","8/30/2019","0","NA","NA","NA","NA","NA","wofford.edu","I","8/28/2019","NA","NA"
"1041465570","9/6/2019","I","OOBWIN15","OOBWIN15","CON","","9/5/2019","9/5/2019","|OOBWIN1506|","OOBWIN15","9/5/2019","9/5/2019","9/5/2019","NA","NA","NA","NA","9/5/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","5","9/6/2019","12/24/2019","2","9/7/2019","11/26/2019","0","NA","NA","NA","NA","NA","gmail.com","I","9/5/2019","NA","NA"
"1039695280","8/7/2019","U","SAPCRMSH","","CON","","NA","8/5/2019","|SAPCRMSHIP120501|","SAPCRMSH","8/5/2019","8/5/2019","8/4/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","3","11/25/2019","12/24/2019","1","1/7/2020","1/7/2020","0","NA","NA","NA","NA","NA","aol.com","U","8/5/2019","NA","NA"
"1044821939","12/22/2019","U","OOBWIN15","","CON","","NA","12/21/2019","|OOBWIN1506|","OOBWIN15","12/21/2019","12/21/2019","12/21/2019","NA","NA","12/21/2019","12/21/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","21","12/30/2019","2/20/2020","1","12/30/2019","12/30/2019","0","NA","NA","NA","NA","NA","gmail.com","U","12/21/2019","NA","NA"
"1038822268","6/16/2019","I","OOBWIN15","OOBWIN15","CON","","6/15/2019","6/15/2019","|OOBWIN1506|","OOBWIN15","6/15/2019","6/15/2019","6/15/2019","NA","6/15/2019","NA","6/15/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","7","6/16/2019","12/24/2019","1","2/8/2020","2/8/2020","0","NA","NA","NA","NA","NA","outlook.com","I","6/15/2019","NA","NA"
